黑灯,10,11,12,樱桃类,斤,2021/5/30
,,,,,,
先锋樱桃,12,13.5,15,樱桃类,斤,2021/5/30
,,,,,,
沙蜜托,10,12.5,15,樱桃类,斤,2021/5/30
,,,,,,
牛林,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
牛骨,4.5,4.75,5,牛肉类,斤,2021/5/30
,,,,,,
牛板筋,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
牛尾,33,34,35,牛肉类,斤,2021/5/30
,,,,,,
牛上脑,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
整羊,28,28.5,29,羊肉类,斤,2021/5/30
,,,,,,
去骨羊前腿,40,40.5,41,羊肉类,斤,2021/5/30
,,,,,,
去骨羊后腿,41,41.5,42,羊肉类,斤,2021/5/30
,,,,,,
羊腰窝,40,40,40,羊肉类,斤,2021/5/30
,,,,,,
羊肉片,40,41.5,43,羊肉类,斤,2021/5/30
,,,,,,
羊腰子（挂油）,15,15.5,16,羊肉类,个,2021/5/30
,,,,,,
羊蝎子,16,16.5,17,羊肉类,斤,2021/5/30
,,,,,,
韭菜,0.8,0.9,1,普通,斤,2021/5/29
,,,,,,
韭菜苔,3.5,3.75,4,普通,斤,2021/5/29
,,,,,,
苦菊,1,1.15,1.3,辽,斤,2021/5/29
,,,,,,
油麦菜,1.4,1.55,1.7,京,斤,2021/5/29
,,,,,,
散菜花,1.1,1.3,1.5,豫苏,斤,2021/5/29
,,,,,,
绿菜花,1.5,1.75,2,冀 苏陕,斤,2021/5/29
,,,,,,
菜花,1.4,1.5,1.6,云,斤,2021/5/29
,,,,,,
绿豆芽,0.95,0.98,1,普通,斤,2021/5/29
,,,,,,
黄豆芽,0.85,0.88,0.9,普通,斤,2021/5/29
,,,,,,
紫菜苔,3,3.25,3.5,普通,斤,2021/5/29
,,,,,,
番茄,1,1.25,1.5,川鲁蒙,斤,2021/5/29
,,,,,,
番茄（精品）,1.5,1.65,1.8,鲁新,斤,2021/5/29
,,,,,,
樱西,4,4.5,5,小红,斤,2021/5/29
,,,,,,
黄瓜,1.1,1.3,1.5,蒙辽袋鲁,斤,2021/5/29
,,,,,,
